Date,Open,High,Low,Close,Adj Close,Volume
2017-07-03,26.65,26.799999,26.35,26.4,26.4,438269
2017-07-04,26.299999,26.549999,26.0,26.299999,26.299999,175332
2017-07-05,26.200001,27.0,26.0,26.85,26.85,656068
2017-07-06,26.950001,27.0,26.200001,26.299999,26.299999,450247
2017-07-07,26.200001,26.700001,26.200001,26.6,26.6,130063
2017-07-10,26.4,26.9,26.1,26.65,26.65,151561
2017-07-11,26.4,26.799999,26.200001,26.700001,26.700001,230816
2017-07-12,26.0,26.950001,26.0,26.6,26.6,231011
2017-07-13,26.1,26.1,24.9,26.0,26.0,402525
2017-07-14,25.5,26.4,25.4,26.049999,26.049999,265443
2017-07-17,25.65,25.9,25.299999,25.799999,25.799999,366548
2017-07-18,25.700001,26.4,25.549999,26.35,26.35,485342
2017-07-19,26.4,26.549999,25.700001,26.200001,26.200001,166349
2017-07-20,26.1,26.4,25.9,26.299999,26.299999,164810
2017-07-21,26.1,26.9,26.1,26.9,26.9,302468
2017-07-24,26.799999,27.299999,26.15,26.65,26.65,326997
2017-07-25,26.700001,27.0,26.1,26.9,26.9,330766
2017-07-26,26.5,27.0,26.450001,26.9,26.9,160761
2017-07-27,26.9,27.0,26.5,26.85,26.85,279422
2017-07-28,26.85,27.1,26.299999,26.5,26.5,685705
2017-07-31,26.75,26.9,26.5,26.799999,26.799999,216376
2017-08-01,26.799999,27.0,26.549999,26.75,26.75,192000
2017-08-02,26.5,26.65,26.0,26.6,26.6,119862
