Date,Open,High,Low,Close,Adj Close,Volume
2017-07-03,10.6,10.85,10.5,10.65,10.65,1809861
2017-07-04,10.65,10.85,10.65,10.8,10.8,714270
2017-07-05,10.75,11.0,10.7,10.8,10.8,1701425
2017-07-06,10.7,11.0,10.7,10.9,10.9,1179738
2017-07-07,10.95,10.95,10.65,10.8,10.8,402329
2017-07-10,10.8,10.95,10.5,10.55,10.55,610426
2017-07-11,10.6,10.8,10.5,10.8,10.8,727155
2017-07-12,10.7,11.0,10.7,11.0,11.0,1154014
2017-07-13,10.85,10.9,10.7,10.8,10.8,399408
2017-07-14,10.8,10.85,10.6,10.85,10.85,495812
2017-07-17,10.95,10.95,10.4,10.5,10.5,535171
2017-07-18,10.45,10.6,10.2,10.25,10.25,637082
2017-07-19,10.25,10.55,10.25,10.4,10.4,577674
2017-07-20,10.5,10.6,10.15,10.3,10.3,809465
2017-07-21,10.45,10.45,10.1,10.15,10.15,484677
2017-07-24,10.15,10.3,9.9,9.99,9.99,863689
2017-07-25,10.0,10.15,9.95,10.05,10.05,1055847
2017-07-26,10.0,10.15,9.99,10.1,10.1,416813
2017-07-27,10.25,10.5,10.0,10.4,10.4,1191253
2017-07-28,10.4,10.6,10.35,10.6,10.6,1030769
2017-07-31,10.75,10.9,10.6,10.75,10.75,1051030
2017-08-01,10.8,11.1,10.75,11.0,11.0,2265257
2017-08-02,10.95,11.45,10.95,11.4,11.4,3912024
