Date,Open,High,Low,Close,Adj Close,Volume
2017-07-03,372.399994,375.0,369.0,374.0,372.179596,58867
2017-07-04,374.0,377.0,374.0,377.0,377.0,41760
2017-07-05,377.850006,379.299988,373.049988,377.0,377.0,136566
2017-07-06,377.0,380.950012,374.350006,375.0,375.0,49688
2017-07-07,375.0,375.0,370.0,373.399994,373.399994,59974
2017-07-10,373.0,373.0,367.0,368.75,368.75,40802
2017-07-11,365.0,379.0,365.0,379.0,379.0,96772
2017-07-12,378.0,381.850006,370.049988,378.0,378.0,77901
2017-07-13,377.0,377.899994,363.5,372.0,372.0,52506
2017-07-14,370.0,370.0,365.0,370.0,370.0,124585
2017-07-17,370.0,378.0,360.0,363.5,363.5,51363
2017-07-18,361.600006,362.950012,356.149994,362.0,362.0,113867
2017-07-19,365.049988,376.0,359.5,361.0,361.0,588238
2017-07-20,362.100006,366.299988,362.049988,363.5,363.5,30741
2017-07-21,364.0,366.450012,347.0,350.100006,350.100006,81184
2017-07-24,349.799988,359.0,345.299988,351.0,351.0,120495
2017-07-25,355.049988,357.5,352.049988,354.0,354.0,53794
2017-07-26,356.049988,359.0,350.0,351.5,351.5,20717
2017-07-27,353.0,355.0,351.0,351.0,351.0,23338
2017-07-28,351.299988,372.0,351.299988,371.0,371.0,63040
2017-07-31,369.950012,369.950012,354.799988,357.0,357.0,92969
2017-08-01,356.799988,357.0,348.0,351.0,351.0,51316
2017-08-02,349.5,363.0,349.5,362.0,362.0,43654
