Date,Open,High,Low,Close,Adj Close,Volume
2017-07-03,10.7,10.9,10.7,10.85,10.85,396488
2017-07-04,10.9,11.2,10.65,11.15,11.15,1360922
2017-07-05,11.15,11.45,11.15,11.35,11.35,1208480
2017-07-06,11.4,11.65,11.25,11.4,11.4,1105274
2017-07-07,11.4,11.45,10.85,11.45,11.45,903634
2017-07-10,11.4,11.6,11.05,11.3,11.3,550586
2017-07-11,11.3,11.45,11.0,11.3,11.3,647441
2017-07-12,11.3,11.5,11.1,11.5,11.5,637354
2017-07-13,11.5,11.5,11.1,11.2,11.2,245234
2017-07-14,11.2,11.4,11.0,11.2,11.2,219114
2017-07-17,11.0,11.1,10.85,10.9,10.9,258002
2017-07-18,10.9,10.95,10.45,10.5,10.5,383549
2017-07-19,10.5,11.25,10.5,10.95,10.95,939390
2017-07-20,11.2,11.25,10.9,11.1,11.1,584517
2017-07-21,11.05,11.25,10.9,11.2,11.2,425508
2017-07-24,11.15,11.35,10.95,11.25,11.25,635393
2017-07-25,11.3,11.3,10.9,11.1,11.1,414604
2017-07-26,11.15,11.15,10.8,10.95,10.95,259417
2017-07-27,10.8,11.15,10.8,11.1,11.1,298633
2017-07-28,10.9,11.0,10.75,11.0,11.0,435079
2017-07-31,11.0,11.0,10.8,11.0,11.0,468607
2017-08-01,11.0,11.15,10.9,11.0,11.0,248313
2017-08-02,10.9,11.5,10.9,11.35,11.35,1340594
