Date,Open,High,Low,Close,Adj Close,Volume
2015-07-27,54.950001,56.0,54.900002,54.900002,53.088997,40928.0
2015-07-28,56.0,57.0,55.599998,56.099998,54.249409,89471.0
2015-07-29,56.099998,58.0,56.099998,56.5,54.636219,138562.0
2015-07-30,56.5,58.099998,56.0,57.5,55.60323,146039.0
2015-07-31,58.0,58.700001,56.799999,56.799999,54.926323,47186.0
2015-08-03,57.5,58.5,57.0,58.150002,56.231789,74763.0
2015-08-04,58.200001,58.200001,55.299999,55.75,53.910956999999996,195791.0
2015-08-05,55.75,58.0,55.75,57.700001,55.796634999999995,191179.0
2015-08-06,57.700001,61.450001,57.0,60.599998,58.600967000000004,257747.0
2015-08-07,60.599998,62.599998,60.0,61.5,59.47128299999999,226572.0
2015-08-10,61.5,67.0,60.099998,66.300003,64.112938,263468.0
2015-08-11,65.900002,65.900002,64.0,64.400002,62.275619999999996,93395.0
2015-08-12,63.700001,66.0,63.700001,65.0,62.855824,64145.0
2015-08-13,64.0,69.300003,64.0,68.300003,66.046974,73700.0
2015-08-14,67.900002,67.900002,64.800003,65.5,63.339332999999996,93241.0
2015-08-18,65.5,65.5,63.099998,63.299999,61.211906000000006,62569.0
2015-08-19,63.0,63.0,60.0,61.5,59.47128299999999,86656.0
2015-08-20,61.450001,61.450001,59.0,60.0,58.020759999999996,76230.0
2015-08-21,59.0,60.0,56.5,59.900002,57.924065,166575.0
2015-08-24,57.0,58.5,54.5,55.799999,53.959309,167933.0
2015-08-25,59.0,59.799999,55.799999,56.700001,54.829617000000006,164846.0
2015-08-26,57.5,61.0,57.5,60.5,58.504268999999994,154440.0
2015-08-27,61.0,63.0,59.900002,62.099998,60.051491000000006,206941.0
2015-08-28,61.849998,64.0,61.849998,62.849998,60.776749,81734.0
2015-08-31,62.0,63.0,60.150002,63.0,60.921803000000004,62345.0
2015-09-01,62.0,63.0,60.799999,60.799999,58.794368999999996,41206.0
2015-09-02,61.0,61.900002,60.25,61.0,58.987774,104008.0
2015-09-03,60.5,63.0,60.5,62.0,59.954788,130971.0
2015-09-04,61.0,63.0,61.0,63.0,60.921803000000004,146220.0
2015-09-07,63.299999,63.700001,63.0,63.599998,61.50200699999999,15502.0
2015-09-08,64.0,66.150002,63.950001,65.400002,63.242630000000005,35123.0
2015-09-09,65.599998,67.0,65.300003,66.050003,63.871196999999995,95256.0
2015-09-10,65.0,67.0,65.0,66.849998,64.644798,148385.0
2015-09-11,67.0,67.300003,65.5,67.099998,64.886551,46482.0
2015-09-14,66.0,66.5,65.099998,65.099998,62.952521999999995,50328.0
2015-09-15,65.650002,66.449997,65.0,65.0,62.855824,66583.0
2015-09-16,65.5,65.5,63.400002,63.400002,61.30860500000001,34059.0
2015-09-17,64.0,64.0,61.700001,62.0,59.954788,51675.0
2015-09-18,61.5,62.400002,60.0,60.700001,58.697674,82119.0
2015-09-21,60.700001,60.700001,56.849998,58.849998,56.908694999999994,133470.0
2015-09-22,57.900002,57.900002,53.0,54.450001,52.653843,215464.0
2015-09-23,56.0,56.0,51.0,52.200001,50.478062,203621.0
2015-09-24,52.200001,53.200001,47.549999,52.400002,50.671467,157530.0
2015-09-25,53.0,57.0,50.5,56.0,54.152714,254151.0
