Date,Open,High,Low,Close,Adj Close,Volume
2017-07-03,3.25,3.26,3.21,3.25,3.25,1074940
2017-07-04,3.25,3.29,3.25,3.25,3.25,1787800
2017-07-05,3.27,3.3,3.25,3.28,3.28,1680570
2017-07-06,3.26,3.29,3.22,3.22,3.22,1278960
2017-07-07,3.24,3.27,3.2,3.23,3.23,1671290
2017-07-10,3.24,3.29,3.23,3.28,3.28,1587670
2017-07-11,3.28,3.37,3.26,3.35,3.35,3353420
2017-07-12,3.35,3.39,3.33,3.39,3.39,2363810
2017-07-13,3.38,3.39,3.32,3.35,3.35,1083910
2017-07-14,3.36,3.4,3.34,3.4,3.4,2852240
2017-07-17,3.4,3.4,3.3,3.31,3.31,1619600
2017-07-18,3.27,3.29,3.25,3.27,3.27,1783060
2017-07-19,3.26,3.33,3.26,3.33,3.33,1042890
2017-07-20,3.28,3.33,3.28,3.33,3.33,757740
2017-07-21,3.32,3.33,3.3,3.3,3.3,829660
2017-07-24,3.28,3.36,3.28,3.31,3.31,562510
2017-07-25,3.35,3.35,3.2,3.24,3.24,1625720
2017-07-26,3.24,3.28,3.18,3.28,3.28,578490
2017-07-27,3.24,3.29,3.24,3.27,3.27,546780
2017-07-28,3.26,3.29,3.25,3.28,3.28,1203950
2017-07-31,3.27,3.29,3.23,3.29,3.29,1584650
2017-08-01,3.28,3.29,3.25,3.27,3.27,911480
2017-08-02,3.28,3.28,3.23,3.28,3.28,1212740
