Date,Open,High,Low,Close,Adj Close,Volume
2015-07-27,8.4,8.55,8.22,8.46,8.46,367364.0
2015-07-28,8.5,8.7,8.5,8.55,8.55,299843.0
2015-07-29,8.7,8.8,8.6,8.78,8.78,233972.0
2015-07-30,8.82,9.0,8.5,8.65,8.65,260153.0
2015-07-31,8.85,8.85,8.55,8.65,8.65,171049.0
2015-08-03,8.66,8.66,8.3,8.31,8.31,162442.0
2015-08-04,8.4,8.45,7.9,8.01,8.01,344081.0
2015-08-05,8.05,8.09,8.0,8.05,8.05,353044.0
2015-08-06,8.04,8.38,7.95,8.24,8.24,1104779.0
2015-08-07,8.3,8.52,8.1,8.45,8.45,338970.0
2015-08-10,8.66,9.25,8.5,9.2,9.2,694769.0
2015-08-11,9.05,9.05,8.8,8.9,8.9,210011.0
2015-08-12,8.8,8.88,8.4,8.85,8.85,290117.0
2015-08-13,8.6,9.0,8.6,8.9,8.9,94541.0
2015-08-14,8.9,8.99,8.75,8.75,8.75,59225.0
2015-08-18,8.75,8.8,8.5,8.68,8.68,181378.0
2015-08-19,8.68,8.72,8.31,8.6,8.6,278729.0
2015-08-20,8.5,8.6,8.3,8.56,8.56,93827.0
2015-08-21,8.45,8.5,8.1,8.5,8.5,303869.0
2015-08-24,8.2,8.34,7.8,8.15,8.15,445340.0
2015-08-25,8.3,8.6,8.0,8.0,8.0,247925.0
2015-08-26,8.05,8.76,8.05,8.76,8.76,224289.0
2015-08-27,8.76,9.35,8.76,9.02,9.02,1332262.0
2015-08-28,9.0,9.14,8.6,9.0,9.0,268134.0
2015-08-31,9.0,9.15,8.85,9.1,9.1,117000.0
2015-09-01,8.99,9.22,8.95,9.1,9.1,705646.0
2015-09-02,9.1,9.15,9.0,9.07,9.07,59343.0
2015-09-03,9.0,9.22,9.0,9.17,9.17,722826.0
2015-09-04,9.1,9.18,9.03,9.16,9.16,250802.0
2015-09-07,9.1,9.17,8.95,9.05,9.05,68744.0
2015-09-08,9.1,9.45,9.1,9.35,9.35,221109.0
2015-09-09,9.36,9.52,9.3,9.52,9.52,517000.0
2015-09-10,9.52,9.7,9.45,9.6,9.6,339091.0
2015-09-11,9.65,9.65,9.44,9.44,9.44,140244.0
2015-09-14,9.4,9.5,9.3,9.3,9.3,73934.0
2015-09-15,9.35,9.6,9.35,9.37,9.37,232632.0
2015-09-16,9.35,9.58,9.21,9.26,9.26,159691.0
2015-09-17,9.38,9.77,9.38,9.56,9.56,351732.0
2015-09-18,9.65,9.73,9.2,9.32,9.32,92856.0
2015-09-21,9.34,9.49,9.25,9.25,9.25,188388.0
2015-09-22,9.3,9.3,8.48,8.9,8.9,459317.0
2015-09-23,8.99,9.0,8.7,9.0,9.0,948248.0
2015-09-24,8.8,9.28,8.1,9.28,9.28,734313.0
2015-09-25,9.28,9.8,9.2,9.58,9.58,998741.0
2015-09-28,9.6,9.6,9.12,9.12,9.12,204244.0
2015-09-29,9.15,9.5,8.7,8.91,8.91,316136.0
2015-09-30,9.0,9.1,8.6,8.65,8.65,876220.0
2015-10-01,8.76,8.8,8.01,8.4,8.4,937328.0
2015-10-02,8.5,8.7,8.25,8.7,8.7,658458.0
2015-10-05,8.7,8.88,8.4,8.5,8.5,655956.0
2015-10-06,8.56,8.6,8.35,8.5,8.5,393714.0
2015-10-07,8.6,9.1,8.42,9.0,9.0,453560.0
2015-10-08,9.01,9.13,8.85,8.97,8.97,210115.0
2015-10-09,9.05,9.05,8.88,8.9,8.9,85782.0
2015-10-13,8.9,9.25,8.5,8.55,8.55,235218.0
2015-10-14,8.69,8.69,8.4,8.44,8.44,629479.0
2015-10-15,8.7,8.7,8.46,8.51,8.51,357512.0
2015-10-16,8.51,8.75,8.5,8.69,8.69,568492.0
2015-10-19,8.69,8.7,8.55,8.56,8.56,378551.0
2015-10-20,8.65,8.82,8.3,8.61,8.61,241699.0
2015-10-21,8.68,8.8,8.6,8.63,8.63,371644.0
2015-10-22,8.9,9.1,8.81,9.06,9.06,351602.0
2015-10-23,9.18,9.8,9.1,9.8,9.8,746185.0
2015-10-26,11.5,12.3,11.0,11.7,11.7,2170676.0
2015-10-27,11.5,11.95,10.35,11.7,11.7,1800601.0
2015-10-28,11.7,13.4,11.7,13.4,13.4,2196756.0
2015-10-29,13.35,14.1,12.6,12.8,12.8,2055108.0
2015-10-30,12.9,13.2,12.5,12.8,12.8,797069.0
2015-11-02,13.0,13.4,12.1,12.2,12.2,793391.0
2015-11-03,12.2,12.5,11.6,11.9,11.9,710409.0
2015-11-04,12.2,12.45,12.1,12.3,12.3,190853.0
2015-11-05,12.5,12.5,12.0,12.5,12.5,757284.0
2015-11-09,12.5,13.0,12.5,12.7,12.7,499112.0
2015-11-10,12.85,13.1,12.45,13.0,13.0,558211.0
2015-11-11,13.2,13.65,13.1,13.4,13.4,553152.0
2015-11-12,13.5,14.0,13.0,13.9,13.9,879604.0
2015-11-13,14.2,14.2,13.8,14.1,14.1,725833.0
2015-11-16,14.6,14.6,14.15,14.3,14.3,954667.0
2015-11-17,14.5,14.8,13.5,13.9,13.9,984919.0
2015-11-18,13.9,14.2,13.3,13.6,13.6,1392287.0
2015-11-19,13.55,14.1,13.0,13.9,13.9,1305083.0
2015-11-20,14.1,14.55,13.7,14.55,14.55,1466038.0
2015-11-24,15.0,15.5,12.1,12.7,12.7,2003049.0
2015-11-25,12.7,13.0,12.5,12.8,12.8,429731.0
2015-11-26,12.8,13.45,12.8,12.95,12.95,318709.0
2015-11-27,12.95,12.95,12.95,12.95,12.95,0.0
2015-11-30,13.0,13.4,12.3,12.6,12.6,1014560.0
2015-12-01,12.7,12.9,12.0,12.2,12.2,677803.0
2015-12-02,12.6,12.6,11.35,11.7,11.7,422153.0
2015-12-03,11.7,12.0,11.5,11.55,11.55,475561.0
2015-12-04,11.5,12.05,11.3,12.05,12.05,265129.0
2015-12-09,12.05,13.2,12.05,13.0,13.0,783236.0
2015-12-10,13.3,13.45,12.7,13.1,13.1,329558.0
2015-12-11,13.2,13.2,12.2,12.25,12.25,419970.0
2015-12-14,12.4,12.75,11.8,12.35,12.35,643280.0
2015-12-15,12.9,12.9,12.1,12.3,12.3,531638.0
2015-12-16,12.3,12.3,11.8,12.1,12.1,278611.0
2015-12-17,12.3,12.5,12.15,12.35,12.35,379853.0
2015-12-18,12.4,12.45,11.3,12.3,12.3,1080329.0
2015-12-21,12.3,12.3,11.45,12.0,12.0,571670.0
2015-12-22,11.5,12.0,11.4,12.0,12.0,250530.0
2015-12-23,12.1,12.6,11.8,12.3,12.3,462161.0
2015-12-28,12.3,12.35,12.0,12.3,12.3,410603.0
2015-12-29,12.3,12.4,11.9,12.0,12.0,104856.0
2015-12-30,12.0,12.45,12.0,12.45,12.45,526878.0
2016-01-04,12.45,12.45,11.75,12.0,12.0,431078.0
2016-01-05,12.0,12.4,11.9,12.05,12.05,400798.0
2016-01-06,12.0,12.25,11.7,12.2,12.2,411024.0
2016-01-07,12.15,12.25,11.85,12.25,12.25,353684.0
2016-01-08,12.45,12.6,12.3,12.4,12.4,407849.0
2016-01-11,12.3,12.5,12.1,12.15,12.15,493540.0
2016-01-12,12.15,12.3,11.55,11.75,11.75,233180.0
2016-01-13,12.0,12.05,11.05,11.15,11.15,336530.0
2016-01-14,11.05,11.3,10.8,11.3,11.3,336469.0
2016-01-15,11.45,11.45,10.75,10.9,10.9,291149.0
2016-01-18,10.8,11.0,10.5,10.6,10.6,169434.0
2016-01-19,10.8,11.1,10.75,10.9,10.9,352754.0
2016-01-20,10.0,10.8,10.0,10.4,10.4,576943.0
2016-01-21,10.4,10.9,10.4,10.8,10.8,224736.0
2016-01-22,11.1,11.85,11.1,11.7,11.7,319647.0
2016-01-25,11.8,11.95,11.4,11.95,11.95,140890.0
2016-01-26,11.6,12.3,11.6,12.05,12.05,444222.0
2016-01-27,12.3,12.75,12.3,12.6,12.6,539100.0
2016-01-28,12.9,13.3,12.65,13.1,13.1,629217.0
2016-01-29,13.4,13.5,12.85,13.2,13.2,542612.0
2016-02-01,13.3,13.4,12.3,12.7,12.7,420731.0
2016-02-02,12.4,12.7,12.0,12.4,12.4,464596.0
2016-02-03,12.4,12.7,12.25,12.3,12.3,98786.0
2016-02-04,12.4,12.75,12.4,12.4,12.4,310192.0
2016-02-05,12.5,12.6,11.8,12.3,12.3,298030.0
2016-02-10,12.3,12.45,11.6,12.45,12.45,343242.0
2016-02-11,12.0,12.4,11.9,12.1,12.1,292953.0
2016-02-12,12.3,12.5,12.2,12.4,12.4,134926.0
2016-02-15,12.65,12.8,12.25,12.25,12.25,127027.0
2016-02-16,12.3,12.4,11.95,12.3,12.3,257342.0
2016-02-17,12.45,12.55,12.2,12.45,12.45,644364.0
2016-02-18,12.6,12.6,12.0,12.35,12.35,263340.0
2016-02-19,12.2,12.4,12.1,12.4,12.4,110780.0
2016-02-22,12.6,12.9,12.45,12.8,12.8,449503.0
2016-02-23,12.8,12.8,12.5,12.55,12.55,379237.0
2016-02-24,12.45,12.9,12.05,12.65,12.65,292708.0
2016-02-25,12.6,13.05,12.6,12.95,12.95,303279.0
2016-02-26,13.0,13.3,12.85,13.0,13.0,348508.0
2016-02-29,13.2,13.45,13.0,13.3,13.3,678149.0
2016-03-01,13.35,13.55,13.2,13.2,13.2,267294.0
2016-03-02,13.2,13.25,12.55,12.8,12.8,285380.0
2016-03-03,12.8,12.8,12.3,12.8,12.8,407118.0
2016-03-04,12.8,12.9,12.0,12.0,12.0,323768.0
2016-03-07,12.25,12.3,11.9,12.15,12.15,297352.0
2016-03-08,12.1,12.3,11.9,12.0,12.0,258927.0
2016-03-09,12.25,12.4,11.65,11.65,11.65,366144.0
2016-03-10,11.75,12.5,11.75,12.5,12.5,467696.0
2016-03-11,12.6,12.65,12.05,12.1,12.1,437122.0
2016-03-14,12.2,12.2,11.2,11.3,11.3,336803.0
2016-03-15,11.45,11.45,10.75,10.8,10.8,398118.0
2016-03-16,11.25,11.5,11.05,11.5,11.5,449566.0
2016-03-17,11.75,11.9,11.65,11.85,11.85,291773.0
2016-03-18,11.85,12.1,11.7,11.8,11.8,154515.0
2016-03-21,12.0,12.0,11.3,11.5,11.5,173002.0
2016-03-22,11.5,11.5,11.1,11.3,11.3,137771.0
2016-03-23,11.2,11.65,11.15,11.4,11.4,179529.0
2016-03-28,11.4,11.4,11.1,11.4,11.4,83907.0
2016-03-29,11.2,11.7,11.2,11.7,11.7,382088.0
2016-03-30,11.75,11.75,11.4,11.5,11.5,371423.0
2016-03-31,11.5,12.25,11.5,12.25,12.25,300934.0
2016-04-01,12.25,12.5,11.85,12.3,12.3,251688.0
2016-04-04,12.0,12.35,12.0,12.1,12.1,118635.0
2016-04-05,12.0,12.0,11.7,11.7,11.7,88009.0
2016-04-06,11.7,12.0,11.0,11.45,11.45,377883.0
2016-04-07,11.45,11.45,10.95,10.95,10.95,213100.0
2016-04-08,11.2,11.35,10.9,11.1,11.1,265101.0
2016-04-11,11.25,11.3,10.75,10.85,10.85,327773.0
2016-04-12,10.85,11.0,10.6,10.7,10.7,229585.0
2016-04-13,10.8,11.5,10.8,11.45,11.45,563049.0
2016-04-14,11.55,11.7,11.4,11.4,11.4,379918.0
2016-04-15,11.4,11.55,10.7,11.25,11.25,216209.0
2016-04-18,11.25,11.35,10.9,11.25,11.25,172606.0
2016-04-19,11.15,11.65,11.0,11.6,11.6,603733.0
2016-04-20,11.7,11.95,11.55,11.85,11.85,604676.0
2016-04-21,11.75,11.9,11.4,11.7,11.7,108746.0
2016-04-22,11.9,11.95,11.4,11.4,11.4,151270.0
2016-04-25,11.3,11.3,10.95,10.95,10.95,326899.0
2016-04-26,11.0,11.3,10.9,10.9,10.9,207483.0
2016-04-27,11.0,11.1,10.8,10.95,10.95,346049.0
2016-04-28,11.05,11.05,10.7,10.7,10.7,329177.0
2016-04-29,11.0,11.0,10.8,10.85,10.85,231596.0
