Date,Open,High,Low,Close,Adj Close,Volume
2017-07-03,19.9,20.1,19.35,19.75,19.75,164161
2017-07-04,19.700001,20.200001,19.700001,20.049999,20.049999,61185
2017-07-05,20.0,20.5,20.0,20.4,20.4,63309
2017-07-06,20.4,20.5,20.200001,20.35,20.35,27410
2017-07-07,20.0,20.4,20.0,20.1,20.1,30970
2017-07-10,20.049999,20.15,19.5,19.5,19.5,213054
2017-07-11,19.450001,19.9,19.450001,19.9,19.9,41567
2017-07-12,19.9,20.0,19.1,19.299999,19.299999,165227
2017-07-13,19.299999,19.299999,18.5,18.799999,18.799999,64670
2017-07-14,18.799999,18.799999,18.4,18.5,18.5,16156
2017-07-17,18.299999,18.5,17.85,18.0,18.0,115686
2017-07-18,18.0,18.049999,17.5,18.049999,18.049999,149977
2017-07-19,17.5,18.700001,17.5,18.299999,18.299999,103433
2017-07-20,18.4,18.9,18.35,18.35,18.35,39434
2017-07-21,19.0,19.6,19.0,19.5,19.5,114261
2017-07-24,19.5,19.6,19.0,19.4,19.4,163592
2017-07-25,19.0,19.200001,19.0,19.1,19.1,147928
2017-07-26,19.049999,19.1,18.5,19.1,19.1,29105
2017-07-27,19.6,19.6,18.9,18.9,18.9,8225
2017-07-28,19.0,19.6,19.0,19.549999,19.549999,74245
2017-07-31,19.549999,19.700001,19.1,19.4,19.4,78756
2017-08-01,19.6,19.799999,19.35,19.65,19.65,26200
2017-08-02,19.5,19.700001,19.4,19.65,19.65,76517
