Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,12.8,13.7,12.8,13.7,10.585988,302611.0
2010-01-05,13.7,14.35,13.7,14.15,10.933703999999999,488679.0
2010-01-06,13.6,14.1,13.55,13.65,10.547356,187096.0
2010-01-07,13.65,13.8,13.3,13.8,10.663260000000001,128107.0
2010-01-08,13.8,13.95,13.4,13.75,10.624623,260602.0
2010-01-11,13.65,13.85,13.55,13.6,10.508719000000001,128641.0
2010-01-12,13.4,13.6,13.2,13.3,10.276908,145167.0
2010-01-13,13.3,13.75,13.3,13.7,10.585988,151715.0
2010-01-14,13.75,13.95,13.7,13.95,10.779164,159433.0
2010-01-15,13.9,13.9,13.6,13.75,10.624623,35434.0
2010-01-18,13.75,13.95,13.0,13.2,10.199639999999999,332503.0
2010-01-19,12.8,13.7,12.6,13.7,10.585988,756814.0
2010-01-20,13.65,13.65,13.25,13.4,10.35418,227982.0
2010-01-21,13.5,13.5,12.8,13.05,10.083735,119124.0
2010-01-22,13.0,13.1,12.95,13.0,10.045098,60303.0
2010-01-25,13.0,13.0,12.7,12.9,9.967829,79694.0
2010-01-26,12.85,12.95,12.75,12.9,9.967829,74348.0
2010-01-27,12.8,12.8,12.4,12.55,9.697384,104461.0
2010-01-28,12.75,12.75,12.4,12.6,9.736018,96390.0
2010-01-29,12.8,13.25,12.8,12.9,9.967829,174578.0
2010-02-01,13.2,13.25,12.95,13.15,10.161003,69439.0
2010-02-02,13.3,13.6,13.2,13.55,10.470084,126932.0
2010-02-03,13.4,13.45,13.05,13.15,10.161003,122975.0
2010-02-04,13.0,13.0,12.8,12.85,9.929196000000001,145202.0
2010-02-05,12.65,12.8,12.55,12.8,9.890559,131134.0
2010-02-08,12.75,13.4,12.75,13.05,10.083735,62620.0
2010-02-09,13.35,13.35,13.1,13.2,10.199639999999999,46236.0
2010-02-10,13.2,13.2,13.0,13.0,10.045098,51357.0
2010-02-11,13.1,13.2,13.0,13.15,10.161003,26476.0
2010-02-12,13.45,13.45,13.05,13.15,10.161003,35431.0
2010-02-17,13.15,14.1,13.0,13.9,10.740528999999999,179811.0
2010-02-18,13.8,13.85,13.6,13.65,10.547356,45293.0
2010-02-19,13.6,13.7,13.5,13.55,10.470084,70935.0
2010-02-22,13.55,13.7,13.45,13.45,10.392814999999999,31466.0
2010-02-23,13.5,13.5,12.8,12.9,9.967829,159294.0
2010-02-24,12.9,12.9,12.6,12.65,9.774654,121713.0
2010-02-25,12.65,12.7,12.2,12.7,9.81329,82309.0
2010-02-26,12.7,12.85,12.6,12.75,9.851923,76983.0
2010-03-01,12.8,12.9,12.75,12.85,9.929196000000001,44565.0
2010-03-02,13.0,13.1,12.8,12.9,9.967829,186916.0
2010-03-03,12.9,13.1,12.75,12.95,10.006464999999999,136974.0
2010-03-04,13.0,13.3,12.85,13.2,10.199639999999999,140058.0
2010-03-05,13.2,13.4,13.2,13.35,10.315544000000001,150461.0
2010-03-08,13.45,13.95,13.4,13.95,10.779164,198350.0
2010-03-09,14.0,14.25,13.9,13.95,10.779164,247443.0
2010-03-10,13.95,13.95,13.95,13.95,10.779164,0.0
2010-03-11,14.2,14.3,13.85,13.9,10.740528999999999,181480.0
2010-03-12,13.95,14.1,13.85,13.85,10.701894,130192.0
2010-03-15,13.6,13.85,13.6,13.8,10.663260000000001,72024.0
2010-03-16,13.8,13.9,13.6,13.85,10.701894,68151.0
2010-03-17,13.85,13.85,13.7,13.75,10.624623,48376.0
2010-03-18,13.75,13.75,13.75,13.75,10.624623,0.0
