Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,163.0,165.0,162.0,162.0,139.281509,251.0
2010-01-05,165.0,169.0,165.0,169.0,145.299805,540.0
2010-01-06,167.0,167.0,165.0,167.0,143.580307,1020.0
2010-01-07,167.5,167.5,167.100006,167.199997,143.752228,153.0
2010-01-08,167.199997,167.199997,165.0,167.0,143.580307,85.0
2010-01-11,168.0,168.0,166.0,166.0,142.720535,376.0
2010-01-12,165.0,166.0,165.0,166.0,142.720535,154.0
2010-01-13,166.0,166.0,166.0,166.0,142.720535,15.0
2010-01-14,163.0,166.0,163.0,166.0,142.720535,115.0
2010-01-15,166.0,168.0,166.0,168.0,144.440094,37.0
2010-01-18,166.0,170.0,166.0,170.0,146.159561,24.0
2010-01-19,169.0,169.0,169.0,169.0,145.299805,120.0
2010-01-20,169.0,169.0,169.0,169.0,145.299805,0.0
2010-01-21,162.0,162.0,158.0,162.0,139.281509,315.0
2010-01-22,162.0,162.0,162.0,162.0,139.281509,142.0
2010-01-25,162.0,162.0,162.0,162.0,139.281509,323.0
2010-01-26,160.0,162.0,160.0,162.0,139.281509,1049.0
2010-01-27,162.0,162.0,161.0,162.0,139.281509,569.0
2010-01-28,162.0,163.0,162.0,163.0,140.141251,45.0
2010-01-29,163.0,164.0,163.0,164.0,141.00100700000002,700.0
2010-02-01,164.0,164.0,164.0,164.0,141.00100700000002,0.0
2010-02-02,163.0,163.5,163.0,163.0,140.141251,98.0
2010-02-03,164.0,164.0,163.0,163.0,140.141251,24.0
2010-02-04,161.800003,161.800003,161.800003,161.800003,139.109543,60.0
2010-02-05,161.800003,161.800003,161.800003,161.800003,139.109543,0.0
2010-02-08,157.0,157.0,155.0,155.0,133.263123,280.0
2010-02-09,155.0,155.0,150.0,152.0,130.683853,325.0
2010-02-10,152.0,152.0,150.0,150.0,128.96434,436.0
2010-02-11,150.0,152.0,150.0,152.0,130.683853,148.0
2010-02-12,152.0,152.0,152.0,152.0,130.683853,0.0
2010-02-17,153.0,156.0,152.5,156.0,134.12294,400.0
2010-02-18,156.0,156.0,156.0,156.0,134.12294,0.0
2010-02-19,155.0,160.0,155.0,160.0,137.56196599999998,160.0
2010-02-22,162.0,163.0,160.0,160.0,137.56196599999998,100.0
2010-02-23,157.0,158.0,155.5,158.0,135.842422,1065.0
2010-02-24,159.0,159.0,158.0,158.0,135.842422,188.0
2010-02-25,158.0,158.0,158.0,158.0,135.842422,0.0
2010-02-26,160.0,160.0,158.0,159.0,136.702194,121.0
2010-03-01,159.0,159.0,159.0,159.0,136.702194,68.0
2010-03-02,159.0,159.0,159.0,159.0,136.702194,31.0
2010-03-03,157.5,159.0,157.5,157.5,135.41253700000001,736.0
2010-03-04,159.0,162.0,159.0,162.0,139.281509,110.0
2010-03-05,162.300003,170.0,162.300003,170.0,146.159561,1441.0
